Id,JobId,Title,Employer,Source,Description,Location,Industry,ExpiryDate,ScrappedDate
0,33178,Director of Sales,27.10.2023 | AFRICAWORK,https://www.ghanajob.com/job-vacancies-ghana/director-sales-33178,We are looking for profiles and CVs of Directors of Sales that we will send to our large account customers for their future recruitment...,Region of : Ashanti - Brong Ahafo - Central - Eastern - Greater Accra -...,,,12/13/2023 00:00:00
0,33179,Business Development Manager,27.10.2023 | AFRICAWORK,https://www.ghanajob.com/job-vacancies-ghana/business-development-manager-33179,We are looking for profiles and CVs of Business Development Managers that we will send to our large account customers for their future...,Region of : Ashanti - Brong Ahafo - Central - Eastern - Greater Accra -...,,,12/13/2023 00:00:00
0,33727,HR Associate,27.10.2023 | AFRICAWORK,https://www.ghanajob.com/job-vacancies-ghana/hr-associate-33727,We are looking for profiles and CVs of HR Associates that we will send to our large account customers for their future recruitment needs....,Region of : Ashanti - Brong Ahafo - Central - Eastern - Greater Accra -...,,,12/13/2023 00:00:00
0,33734,Head of Marketing,27.10.2023 | AFRICAWORK,https://www.ghanajob.com/job-vacancies-ghana/head-marketing-33734,We are looking for profiles and CVs of Heads of Marketing that we will send to our large account customers for their future recruitment...,Region of : Ashanti - Brong Ahafo - Central - Eastern - Greater Accra -...,,,12/13/2023 00:00:00
0,34263,HR Director,27.10.2023 | AFRICAWORK,https://www.ghanajob.com/job-vacancies-ghana/hr-director-34263,We are looking for profiles and CVs of HR Directors that we will send to our large account customers for their future recruitment needs....,Region of : Ashanti - Brong Ahafo - Central - Eastern - Greater Accra -...,,,12/13/2023 00:00:00
0,41682,Client Relationship Advisor,27.10.2023 | AFRICAWORK,https://www.ghanajob.com/job-vacancies-ghana/client-relationship-advisor-41682,We are in need&nbsp;for profiles and CVs of&nbsp;Client Relationship Advisors&nbsp;that will be sent to our large account customers for...,Region of : Ashanti - Brong Ahafo - Central - Eastern - Greater Accra -...,,,12/13/2023 00:00:00
0,46057,Purchasing Analyst,27.10.2023 | AFRICAWORK,https://www.ghanajob.com/job-vacancies-ghana/purchasing-analyst-46057,We are looking for profiles and CVs of&nbsp;Purchasing Analysts&nbsp;that we will send to our large account customers for their future...,Region of : Ashanti - Brong Ahafo - Central - Eastern - Greater Accra -...,,,12/13/2023 00:00:00
0,49210,Web Designer,27.10.2023 | AFRICAWORK,https://www.ghanajob.com/job-vacancies-ghana/web-designer-49210,We are looking for profiles and CVs of&nbsp;Web Designers&nbsp;that we will send to our large account customers for their future...,Region of : Ashanti - Brong Ahafo - Central - Eastern - Greater Accra -...,,,12/13/2023 00:00:00
0,50863,Credit Manager,27.10.2023 | AFRICAWORK,https://www.ghanajob.com/job-vacancies-ghana/credit-manager-50863,We are looking for profiles and CVs of&nbsp;Credit Managers&nbsp;that we will send to our large account customers for their future...,Region of : Ashanti - Brong Ahafo - Central - Eastern - Greater Accra -...,,,12/13/2023 00:00:00
0,109015,Director of Production &amp; Supply Chain,27.10.2023 | AFRICAWORK,https://www.ghanajob.com/job-vacancies-ghana/director-production-supply-chain-109015,"&nbsp;We are looking for a Director of Production &amp; Supply Chain for our client, a large and fast-growing manufacturer of consumer...",Region of : Ashanti - Brong Ahafo - Central - Eastern - Greater Accra -...,,,12/13/2023 00:00:00
0,150048,Project Officer Sr - IWARC (Ghanaian Nationals Only),26.10.2023 | CATHOLIC RELIEF SERVICES,https://www.ghanajob.com/job-vacancies-ghana/project-officer-sr-iwarc-ghanaian-nationals-only-150048,"Job SummaryAs a Senior Project Officer for the IWARC project team, you will facilitate the achievement of project objectives through...",Region of : Ashanti - Brong Ahafo - Central - Eastern - Greater Accra -...,,,12/13/2023 00:00:00
